word,mean,synonym,category
employ,tuyển dụng,,Work and obligations
employed,có việc làm,,Work and obligations
earnings,"thu nhập, các khoản lời",,Work and obligations
hire,thuê (người làm),,Work and obligations
contract,"bản hợp đồng, cam kết, giao kèo",,Work and obligations
job,việc làm,,Work and obligations
work,công việc,,Work and obligations
career,sự nghiệp,,Work and obligations
income,"thu nhập (chỉ tất cả nguồn tiền bao gồm lương, hoa hồng,… bạn có)",,Work and obligations
salary,tiền lương (cố định hàng tháng/ hàng năm),,Work and obligations
wage,"tiền công (theo công suất làm việc, giờ làm…)",,Work and obligations
sack,"sa thải, cách chức",,Work and obligations
fire,,,Work and obligations
lose a job,mất việc,,Work and obligations
give up a job,"bỏ việc, nghỉ việc",,Work and obligations
resign,từ chức,,Work and obligations
retire,nghỉ hưu,,Work and obligations
give/hand in a notice,chính thức thông báo sắp nghỉ việc,,Work and obligations
start/ begin work,bắt đầu đi làm,,Work and obligations
take a break,nghỉ ngơi,,Work and obligations
company,công ty nói chung (kinh doanh tạo ra lợi nhuận từ việc sản xuất/ bán các sản phẩm và dịch vụ),,Work and obligations
firm,"công ty (chuyên nghiệp về một lĩnh vực cụ thể), VD: law firm (công ty luật), accounting firm (công ty kế toán)",,Work and obligations
business,"tổ chức thương mại hoạt động kinh doanh, VD: nhà máy (factory), store (cửa hàng), công ty (company)",,Work and obligations
enterprise,"doanh nghiệp (dùng khi muốn nhấn mạnh đó là doanh nghiệp nhà nước hay tư nhân), tinh thần khởi nghiệp",,Work and obligations
start-up,các công ty khởi nghiệp,,Work and obligations
over time,tăng ca,,Work and obligations
duty,trách nhiệm,,Work and obligations
pension,lương hưu,,Work and obligations
promotion,sự thăng tiến,,Work and obligations
reliance,sự nhờ cậy,,Work and obligations
phrasal verb,,,Work and obligations
carry out,tiến hành,do sth,Work and obligations
back out (of),"thất hứa, không làm điều gì đã nói trước đó",,Work and obligations
turn down,từ chối,reject,Work and obligations
set up,bắt đầu kinh doanh,start a business,Work and obligations
stand in for,thay thế,,Work and obligations
work away,"làm việc ở nước ngoài, đi công tác",work abroad,Work and obligations
work out,"giải quyết, tìm giải pháp",,Work and obligations
take on,"tuyển dụng, thuê",employ/ hire,Work and obligations
phrasal,,,Work and obligations
on purpose,có chủ đích,,Work and obligations
by accident,vô tình,,Work and obligations
be willing,sẵn sàng,,Work and obligations
be praised for,được khen ngợi bởi,,Work and obligations
better than expected,tốt hơn mong đợi,,Work and obligations
worse than expected,tệ hơn mong đợi,,Work and obligations
the pros and cons of,mặt trái và phải của,,Work and obligations
be on duty,làm nhiệm vụ,,Work and obligations
apply for a job,ứng tuyển việc làm,,Work and obligations
depend on,phụ thuộc vào,,Work and obligations
rely on,"dựa vào, nhờ vào",,Work and obligations
qualify as/ in sth,"đủ tiêu chuẩn, đủ điều kiện trong việc gì",,Work and obligations
work in/ at,làm việc trong/ về lĩnh vực gì,,Work and obligations
be experienced in/ at sth,có kinh nghiệm trong việc gì,,Work and obligations
be responsible for sth,chịu trách nhiệm cho việc gì,,Work and obligations
be capable of sth,có khả năng,,Work and obligations
idioms,,,Work and obligations
work like a dog,"làm việc chăm chỉ, cật lực",,Work and obligations
work 9-5,làm việc giờ hành chính,,Work and obligations
work around the clock,"làm việc ngày đêm, liên tục không ngừng nghỉ",,Work and obligations
be a people person,"người thân thiện, hòa đồng",,Work and obligations
be a big fish,người quan trọng,,Work and obligations
be a go-getter,"người xông xáo, năng nổ, cố gắng để đạt mục tiêu",,Work and obligations
word,,,
discount,sự giảm giá,,Money and spending
reduced price,hạ giá,,Money and spending
low-cost,giá thấp,,Money and spending
a bargain,"sự mặc cả, mặc cả",,Money and spending
receipt,hóa đơn (sau khi thanh toán),,Money and spending
bill,hóa đơn (trước khi thanh toán),,Money and spending
label,nhãn,,Money and spending
price-tag,nhãn giá,,Money and spending
brand,thương hiệu,,Money and spending
cash,tiền mặt,,Money and spending
credit card,thẻ tín dụng,,Money and spending
cheques,séc (một chứng từ có thể ra lệnh cho ngân hàng trích tiền từ tài khoản để thanh toán),,Money and spending
refund,"khoản tiền hoàn trả, hoàn tiền",,Money and spending
owe money,nợ tiền,,Money and spending
change,"tiền trả lại, tiền thừa",,Money and spending
lend,"cho mượn, cho vay",,Money and spending
borrow,"mượn, vay",,Money and spending
purchase,mua (= buy),,Money and spending
sell,bán,,Money and spending
make a profit,tạo ra lợi nhuận,,Money and spending
stuff,đồ đạc,,Money and spending
possessions,của cải,,Money and spending
shopping centre,trung tâm mua sắm,,Money and spending
department store,cửa hàng bách hóa,,Money and spending
typical,"tiêu biểu, đặc trưng",,Money and spending
interchange,sự trao đổi,,Money and spending
phrasal verb,,,Money and spending
bank on,phụ thuộc vào,depend,Money and spending
buy (sth) up,mua số lượng lớn,,Money and spending
come by,thăm,visit,Money and spending
save up (for),"tiết kiệm (để làm gì, cho cái gì)",,Money and spending
cash in on (sth),bán cái gì vì lợi nhuận,,Money and spending
give away,tặng quà,,Money and spending
put by,tiết kiệm cho tương lai,,Money and spending
sell out,"bán hết, cháy hàng",,Money and spending
phrasal,,,Money and spending
be on sale,đang hạ giá,,Money and spending
break down in tears,vỡ òa trong nước mắt,,Money and spending
have something under control,giữ mọi việc trong tầm kiểm soát,,Money and spending
dream come true,giấc mơ thành hiện thực,,Money and spending
make an impression on,tạo ấn tượng (trong việc gì đó),,Money and spending
go shopping,đi mua sắm,,Money and spending
do the shopping,đi mua sắm,,Money and spending
be in debt,nợ nần,,Money and spending
get used to (+ V-ing),quen làm gì,,Money and spending
spend money on,để dành tiền làm gì,,Money and spending
charge sb for sth,tính phí ai cho cái gì,,Money and spending
live above your means,sống vượt mức tiền kiếm được,,Money and spending
sell to sb,bán cho ai,,Money and spending
idioms,,,Money and spending
be a cheapskate,là một kẻ hà tiện,,Money and spending
foot the bill,thanh toán,,Money and spending
have an eye for,có khả năng làm gì tốt,,Money and spending
be pinching pennies,không có tiền,,Money and spending
be on the dole,thất nghiệp,unemployed,Money and spending
be in a pickle,gặp rắc rối,be in trouble,Money and spending
