word,,,mean
hate,v,/heɪt/,ghét
loathe,v,/loʊð/,rất ghét
detest,v,/dɪˈtɛst/,
despise,v,/dɪˈspaɪz/,"khinh thường, coi thường"
can’t stand,v,/kænt stænd/,"không chịu nổi (làm gì, điều gì)"
like,v,/laɪk/,"thích, yêu thích"
love,v,/lʌv/,"thích, yêu thích"
enjoy,v,/ɪnˈʤɔɪ/,"thích, yêu thích"
relax,v,/rɪˈlæks/,thư giãn
rest,"n, v",/rɛst/,"sự nghỉ ngơi
nghỉ ngơi"
arrange,v,/əˈreɪnʤ/,"sắp xếp, lên kế hoạch (= plan)"
do/ play (sport),v,/du/ pleɪ/,chơi (thể thao)
garden,"n, v",/ˈɡɑ:rdən/,"(n) vườn
(v) làm vườn"
do DIY (= do it yourself),v,/duːˌdiː.aɪˈwaɪ/,tự làm
pub,n,/pʌb/,quán rượu (bán đồ uống có cồn và đồ ăn)
competition,n,/ˌkɑmpəˈtɪʃən/,"sự cạnh tranh
cuộc thi đấu"
eager,adj,/ˈiɡər/,háo hức
interest,n,/ˈɪntrəst/,sở thích
involvement,n,/ɪnˈvɑlvmənt/,sự tham gia
arrival,n,/əˈraɪvəl/,sự đến
