word,mean,synonym
pass (an exam),thi đỗ,
fail (an exam),thi trượt,
take/ do (an exam),làm bài thi,
achieve/ get (good grades),đạt điểm tốt,
handle,"xoay sở, ứng phó",
revise,"ôn tập, luyện tập","review, go over, cram"
understand,hiểu,
essay,"bài tiểu luận, bài viết",writing
recognize,nhận ra,
degree,bằng do các trường Đại học cấp,
certificate,"chứng nhận, chứng chỉ (cho một khóa học, một kỹ năng cụ thể)",
qualification,năng lực chuyên môn,
objective,mục tiêu,
colleague,đồng nghiệp,
classmate,bạn cùng lớp,
lecture,"bài giảng, bài thuyết trình",
phrasal verb,,
drop out (of),bỏ học,stop studying/ going to school
get on with,tiếp tục,continue doing
cope with,"xoay sở, ứng phó",handle
deal with,"xoay sở, ứng phó",
think over,cân nhắc,consider
get at,"có thể tìm kiếm, tiếp cận, truy cập",
catch on,hiểu,understand
go into,đi sâu vào chi tiết,begin to describe in detail
make up,bịa chuyện,
take down,viết xuống,write down
take in,hiểu,understand
phrasal,,
make sense,hợp lý,
make up your mind,ra quyết định,
pay attention to,chú ý,
see no point in,thấy bất hợp lý,
on your own,"tự mình, tự lực cánh sinh",
learn about,học tập (về cái gì),
boast of/ about,tự hào về,
complain about,phàn nàn về,
succeed in,thành công về,
teach to sb/ about sth,dạy cho ai đó/ về điều gì,
be similar to,"gần giống, tương tự",
be suitable for,thích hợp cho,
be happy with/ about,vui với/ về điều gì,
consist of,bao gồm,
idioms,,
hit the books,học rất nhiều,study hard
pull an all nighter,"học chăm chỉ, “cày suốt đêm”",
be on the mark,đúng,
cover all the bases,"chuẩn bị cho mọi khả năng có thể xảy ra, chú ý đến mọi khía cạnh của tình huống",
be ahead of the pack,"làm tốt hơn, thể hiện tốt hơn người khác",
with flying colours,làm điều gì đó tốt,do something well
