word,mean
dog,con chó
table,cái bàn
cat,con mèo
weapon,vũ khí
dinosaur,khủng long
canyon,hẻm núi
mindfulness,chánh niệm
insight,sáng suốt
applicate,áp dụng
afford,đủ khả năng
guava,ổi
hippo,hà mã
orange,cam
buzzer,còi báo động
ball,bóng
blossoms,hoa nở
bloom,nở
admission,vé vào cửa
craft,đồ thủ công
refreshment,đồ ăn nhẹ
manor,trang viên
intimate,"thân mật, thân tình"
beverage,đồ uống
linen,đồ vải lanh
cutlery,dao kéo
sampling,sự lấy mẫu
vegetarian,người ăn chay
preliminary,"sơ bộ, mở đầu"
cafeteria,quán ăn tự phục vụ
interrupt,"gián đoạn, ngắt lời"
grateful,biết ơn
committed,"tận tụy, tận tâm"
appealing,"lôi cuốn, thu hút"
facilitate,tạo điều kiện
nutrition,dinh dưỡng
intuitive,trực quan
pleasant,dễ chịu
contributor,"cộng tác viên, người đóng góp"
appearance,"diện mạo, vẻ bề ngoài"
glance,"sự liếc nhìn, nhìn thoáng qua"
revolutionize,cách mạng hóa
consumption,"sự tiêu thụ, sự tiêu dùng"
merger,sự sáp nhập
advertise,quảng cáo
competitor,đối thủ cạnh tranh
innovative,"tiên tiến, đổi mới"
auto-timer,hẹn giờ tự động
microwave oven,lò vi sóng
variable,"có thể thay đổi, biến đổi"
complexity,tính phức tạp
grasp,"nắm được, hiểu được"
verbal,bằng lời nói
visual aid,phương tiện trực quan
concept,khái niệm
appliance,"thiết bị, dụng cụ"
automobile,ô tô
tighten,thắt chặt
accomplish,hoàn thành
coordinate,điều phối
large-scale,quy mô lớn
corporate,công ty
trade show,triển lãm thương mại
convention,hội nghị
representative,đại diện
troubleshooting,xử lý sự cố
help desk,"nhân viên hỗ trợ, bộ phận hỗ trợ"
experience,"trải nghiệm, kinh nghiệm"
come along,tiến triển
limb,cành cây
trunk,thân cây
real estate,bất động sản
stop by,ghé qua
prospective,tiềm năng
residence,khu dân cư
extra pair of hands,"sự giúp đỡ, hỗ trợ"
out sick,nghỉ ốm
auto repair shop,cửa hàng sửa chữa ô tô
construction firm,công ty xây dựng
appreciation,"sự trân trọng, tri ân"
mayor,thị trưởng
declare,tuyên bố
greet,chào hỏi
gesture,cử chỉ
gratitude,"sự biết ơn, lòng biết ơn"
cope with,"xoay sở, đối phó"
anticipate,"dự kiến, dự đoán"
subway line,tuyến tàu điện ngầm
alleviate,"làm giảm, làm nhẹ bớt"
light snack,đồ ăn nhẹ
donate,"quyên góp, tặng"
passenger,hành khách
awards ceremony,lễ trao giải
greeting,lời chào hỏi
resident,cư dân
warehouse,nhà kho
implementation,"sự thi hành, sự thực hiện"
postpone,hoãn
aspect,"mặt, khía cạnh"
handle,xử lý
premise,"cơ sở, mặt bằng"
handheld,cầm tay
battery power,pin
reorganization,sự tái tổ chức
efficiency,sự hiệu quả
specific,"cụ thể, đặc biệt"
complaint,phàn nàn
reduce,giảm
shift,ca làm
reschedule,sắp xếp lại
solution,"biện pháp, giải pháp"
ever-growing,"không ngừng phát triển, ngày càng tăng"
client portfolio,danh mục khách hàng
specialty,"đặc sản, đặc trưng"
apparel,"quần áo, trang phục"
business community,cộng đồng doanh nghiệp
travel agency,công ty du lịch
knowledgeable,"am hiểu, thành thạo"
have no doubt,"không nghi ngờ gì, chắc chắn"
diverse,"phong phú, đa dạng"
export firm,doanh nghiệp xuất khẩu
revenue,"doanh thu, thu nhập"
industry,"ngành, công nghiệp"
executive recruiter,nhà tuyển dụng cao cấp
former,"trước, cũ"
colleague,đồng nghiệp
explore,"tìm hiểu, khám phá"
sightseeing,sự tham quan
recommendation,"sự gợi ý, giới thiệu"
vehicle,phương tiện
insurance,bảo hiểm
top-of-the-line,hàng đầu
maintenance,"sự bảo trì, bảo dưỡng"
annual,"hàng năm, thường niên"
inspection,"sự kiểm tra, thanh tra"
engine,động cơ
exhaust,"khí, khói"
replacement,sự thay thế
interior,nội thất
exterior,ngoại thất
mat,thảm
combination,"sự kết hợp, phối hợp"
certificate,chứng nhận
forum,diễn đàn
mission,"nhiệm vụ, sứ mệnh"
statement,"sự tuyên bố, lời tuyên bố"
harbor,"cảng, bến tàu"
neighborhood,"khu phố, hàng xóm, vùng lân cận"
association,hiệp hội
promote,"xúc tiến, đẩy mạnh, quảng cáo, thăng chức"
self-governing,tự quản
vibrant,"sôi nổi, mạnh mẽ"
ensure,đảm bảo
maintain,duy trì
preserve,bảo tồn
initiative,sáng kiến
resident,cư dân
meeting agenda,chương trình họp
rezone,tái phân vùng
approve,"chấp thuận, phê duyệt"
commercial use,mục đích thương mại
remodel,"sửa đổi, tu sửa"
council,hội đồng
committee,ủy ban
retire,nghỉ hưu
focus,"trọng tâm, trọng điểm"
charge,tính phí
encourage,khuyến khích
support,"sự ủng hộ, sự giúp đỡ"
proposal,đề xuất
user manual,hướng dẫn sử dụng
air conditioner,máy điều hòa không khí
