word,mean,synonym
book,đặt bàn,
reserve,đặt bàn,
miss,"bỏ lỡ, mất",
lose,"bỏ lỡ, mất",
find,"thấy ai/ cái gì, tình cờ gặp",
come across,"thấy ai/ cái gì, tình cờ gặp",
arrive at,đến,
get to,đến,
reach,đến,
feel like/ fancy,cảm thấy,
choose,lựa chọn,
pick,lựa chọn,
go for,lựa chọn,
reservation,sự đặt trước,
arrangement,sự sắp xếp,
choosy,"kén chọn, chọn tỉ mỉ",
sightseeing,"tham quan, ngắm cảnh",
sunbathe,tắm nắng,
payment,sự thanh toán,
emigration,sự di cư,
immigration,sự nhập cư,
lifestyle,lối sống,
receptionist,nhân viên lễ tân,
accommodation,"chỗ ở (khi đi du lịch, công tác)",
phrasal verb,,
get away,"trốn thoát, rời khỏi",
go away,"trốn thoát, rời khỏi",
go on holiday,"đi nghỉ, đi du lịch",
set off,lên đường,start a journey
hold up,"dừng lại, giữ",
pick up,nhặt lênđưa đón,
drop off,rời khỏi một địa điểm,leave in a place
check in,thủ tục nhận phòng khách sạn/ chuyến bay,
check out,thủ tục trả phòng,
look forward to,mong đợi,be excited about
look around,khám phá,explore
catch up with,đuổi kịp,get to the same point as
phrasal,,
just in case,"đề phòng, phòng trường hợp",
in order to,để làm gì đó,
in terms of,"xét về (mặt gì đó, lĩnh vực gì)",
keep in touch,giữ liên lạc,
every other way,mọi cách khác,
on board,ở trên tàu,
be afraid of,sợ hãi điều gì,
be scared of,,
be annoyed with sb/ about sth,khó chịu với ai/ về điều gì,
be angry with sb/ about sth,tức giận với ai/ về điều gì,
be keen on,thích thú,
dream of,"ao ước, mơ",
differ from sb,khác biệt so với ai,
used to (+ V-ing),quen với (việc làm gì),
pay for sth,thanh toán cho cái gì,
idioms,,
be down to earth,chỉ tính cách thân thiện/ thực tế,
go with the flow,thuận theo tự nhiên,
have itchy feet,muốn đi đâu đó,
be in the same boat,cùng hội cùng thuyền,
