word,mean
carry on,tiếp tục (= continue)
get around to,bắt đầu (= start doing after planning)
get up to,"làm gì đó không nên, không được ủng hộ"
go off,dừng thích làm gì (= stop liking)
calm down,bình tĩnh lại (= relax)
put off,trì hoãn (= delay)
be into,thích (= like)
call off,hủy bỏ (= cancel)
hang out (with),đi chơi với ai
as well as,cũng như
as long as,miễn là
I’d rather + V-inf,thà làm gì đó
regret (not) + V-ing,hối hận vì đã (không) làm gì
be worth + V-ing,đáng làm
a part of,một phần của
be keen onbe fond ofbe a fan of,thích làm điều gì
be good/ bad at,làm tốt/ làm dở điều gì
be crazy/ mad about,"phát điên về điều gì đó (quá thích, bị ám ảnh)"
concentrate on,tập trung vào
involve in/ join in/ participate in,tham gia vào
listen to,lắng nghe
go for a walk,đi dạo
can’t help (+ V-ing),"không thể làm gì, bất lực"
Let/ Blow off steam,xả giận
Put your feet up,nghỉ ngơi cho khuây khỏa đầu óc
Take five,dùng để nói với ai giữa giờ làm hoặc giờ học: “Hãy nghỉ giữa giờ khoảng 5-10 phút”
Be on the ball/ be on fire,"nhanh nhạy hiểu vấn đề gì đó, phản xạ nhanh trước một tình huống"
get away,"trốn thoát, rời khỏi"
go away,"trốn thoát, rời khỏi"
go on holiday,"đi nghỉ, đi du lịch"
set off,lên đường (= start a journey)
hold up,"dừng lại, giữ"
pick up,nhặt lênđưa đón
drop off,rời khỏi một địa điểm (= leave in a place)
check in,thủ tục nhận phòng khách sạn/ chuyến bay
check out,thủ tục trả phòng
look forward to,mong đợi (= be excited about)
look around,khám phá (= explore)
catch up with,đuổi kịp (= get to the same point as)
just in case,"đề phòng, phòng trường hợp"
in order to,để làm gì đó (= to)
in terms of,"xét về (mặt gì đó, lĩnh vực gì)"
keep in touch,giữ liên lạc
every other way,mọi cách khác
on board,ở trên tàu
be afraid of,sợ hãi điều gì
be scared of,sợ hãi điều gì
be annoyed with sb/ about sth,khó chịu với ai/ về điều gì
be angry with sb/ about sth,tức giận với ai/ về điều gì
be keen on,thích thú
dream of,"ao ước, mơ"
differ from sb,khác biệt so với ai
used to (+ V-ing),quen với (việc làm gì)
pay for sth,thanh toán cho cái gì
be down to earth,chỉ tính cách thân thiện/ thực tế
go with the flow,thuận theo tự nhiên
have itchy feet,muốn đi đâu đó
be in the same boat,cùng hội cùng thuyền
drop out (of),bỏ học (= stop studying/ going to school)
get on with,tiếp tục (= continue doing)
cope with,"xoay sở, ứng phó (= handle)"
deal with,"xoay sở, ứng phó (= handle)"
think over,cân nhắc (= consider)
get at,"có thể tìm kiếm, tiếp cận, truy cập"
catch on,hiểu (= understand)
go into,đi sâu vào chi tiết (= begin to describe in detail)
make up,bịa chuyện
take down,viết xuống (= write down)
take in,hiểu (= understand)
make sense,hợp lý
make up your mind,ra quyết định
pay attention to,chú ý
see no point in,thấy bất hợp lý
on your own,"tự mình, tự lực cánh sinh"
learn about,học tập (về cái gì)
boast of/ about,tự hào về
complain about,phàn nàn về
succeed in,thành công về
teach to sb/ about sth,dạy cho ai đó/ về điều gì
be similar to,"gần giống, tương tự"
be suitable for,thích hợp cho
be happy with/ about,vui với/ về điều gì
consist of,bao gồm
hit the books,học rất nhiều (= study hard)
pull an all nighter,"học chăm chỉ, “cày suốt đêm”"
be on the mark,đúng
cover all the bases,(1) chuẩn bị cho mọi khả năng có thể xảy ra
cover all the bases,(2) chú ý đến mọi khía cạnh của tình huống
be ahead of the pack,"làm tốt hơn, thể hiện tốt hơn người khác"
with flying colours,làm điều gì đó tốt (= do something well)
carry out,tiến hành (= do sth)
back out (of),"thất hứa, không làm điều gì đã nói trước đó"
turn down,từ chối (= reject)
set up,bắt đầu kinh doanh (= start a business)
stand in for,thay thế
work away,"làm việc ở nước ngoài, đi công tác (= work abroad)"
work out,"giải quyết, tìm giải pháp"
take on,"tuyển dụng, thuê (= employ/ hire)"
on purpose,có chủ đích
by accident,vô tình
be willing,sẵn sàng
be praised for,được khen ngợi bởi
better than expected,tốt hơn mong đợi
worse than expected,tệ hơn mong đợi
the pros and cons of,mặt trái và phải của
be on duty,làm nhiệm vụ
apply for a job,ứng tuyển việc làm
depend on,phụ thuộc vào
rely on,"dựa vào, nhờ vào"
qualify as/ in sth,"đủ tiêu chuẩn, đủ điều kiện trong việc gì"
work in/ at,làm việc trong/ về lĩnh vực gì
be experienced in/ at sth,có kinh nghiệm trong việc gì
be responsible for sth,chịu trách nhiệm cho việc gì
be capable of sth,có khả năng
work like a dog,"làm việc chăm chỉ, cật lực"
work 9-5,làm việc giờ hành chính
work around the clock,"làm việc ngày đêm, liên tục không ngừng nghỉ"
be a people person,"người thân thiện, hòa đồng"
be a big fish,người quan trọng
be a go-getter,"người xông xáo, năng nổ, cố gắng để đạt mục tiêu"
bank on,phụ thuộc vào (= depend)
buy (sth) up,mua số lượng lớn
come by,thăm (= visit)
save up (for),"tiết kiệm (để làm gì, cho cái gì)"
cash in on (sth),bán cái gì vì lợi nhuận
give away,tặng quà
put by,tiết kiệm cho tương lai
sell out,"bán hết, cháy hàng"
be on sale,đang hạ giá
break down in tears,vỡ òa trong nước mắt
have something under control,giữ mọi việc trong tầm kiểm soát
dream come true,giấc mơ thành hiện thực
make an impression on,tạo ấn tượng (trong việc gì đó)
go shopping,đi mua sắm
do the shopping,đi mua sắm
be in debt,nợ nần
get used to (+ V-ing),quen làm gì
spend money on,để dành tiền làm gì
charge sb for sth,tính phí ai cho cái gì
live above your means,sống vượt mức tiền kiếm được
sell to sb,bán cho ai
be a cheapskate,là một kẻ hà tiện
foot the bill,thanh toán
